contentid,contenttypeid,title,homepage,overview,tel,telname,createdtime,modifiedtime,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel
129156,12,가덕도 등대,"<a href=""https://www.bsgangseo.go.kr/visit/tour/view.do?touIdx=286&mId=0403020000"" target=""_blank"" title=""새창 : 부산 강서구 문화관광 사이트로 이동"">https://www.bsgangseo.go.kr/visit</a>","조선 말기에 건설된 유인등대 중 하나로서 1909년 12월에 점등을 시작했으며, 2003년 9월 16일 부산광역시 유형문화재로 지정된 등대이다. 고딕형 양식을 갖고 있으며 이 때문에 프랑스 등탑 형식과 유사하다. 출입구에는 진입계단의 폭에 맞게 목재를 이용한 돌출형 경사 현관을 설치하였으며, 상부 현판에는 조선 황실의 상징인 오얏꽃 문양이 새겨져 있는 등 한국, 일본, 유럽의 건축양식이 혼합된 구조로 되어 있다. 근대 서구 건축의 양식, 재료 등이 최초로 사용되었던 건물 중 하나이고 다른 등대에 비해 원형을 상당 부분 잘 간직하고 있기 때문에 역사적, 건축사적 가치가 돋보이는 문화재이다.",,,20060719090000,20250318220404,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image3_1.jpg,Type3,6,1,26,440,VE,VE01,VE010800,A01,A0101,A01011600,부산광역시 강서구 외양포로 10,,46771,128.8295937487,35.0006471157,6
2726843,12,가덕도 연대봉,"<a href=""https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=444&lang_cd=ko"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.visitbusan.net</a>","가덕도는 부산에 속한 섬 중 가장 큰 섬으로 신석기시대부터 사람이 살았던 것으로 추정되며, 임진왜란과 일제강점기까지 우리나라의 아린 역사를 지켜본 섬이다. 연대봉은 해발 459미터의 높이로 2~3시간이면 다녀올 수 있는 산으로 높이가 그리 높지도 않아 오르기도 어렵지 않지만 정상에 오르면 높은 산에 오른 듯한 기분과 전망을 경험할 수 있다. 산세가 원만하여 가족단위로 가볍게 등산하기에 알맞으며 정상에 가까이 오르면 가덕도 바다와 거가대교를 한눈에 볼 수 있다. 연대봉 정상에는 임진왜란 당시 최초로 왜적을 발견해 불을 피워 올렸던 봉수대를 볼 수 있다. 산과 바다의 청취를 동시에 느낄 수 있는 곳이다. 

(출처 : 비짓부산 홈페이지)",,,20210723203306,20250325102838,,,,6,1,26,440,NA,NA01,NA010100,A01,A0101,A01010400,부산광역시 강서구 천성동,,,128.8216713782,35.0317518247,6
2845011,39,가마솥생복집,,"기장에 있는 가마솥생복집은 부산의 대표 복요리 전문음식점으로 부산 향토 음식점 중 하나며 복찬집이라고도 부른다. 은복, 참활복, 까치복 등 다양한 종류의 복어를 지리와 매운탕으로 즐길 수 있으며, 바삭한 복튀김과 함께 밑반찬도 깔끔하게 제공된다. 넓은 매장과 편리한 주차 시설로 가족 모임이나 단체 방문에도 적합하다.",,,20220829144708,20250828133132,http://tong.visitkorea.or.kr/cms/resource/05/2845005_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2845005_image3_1.jpg,Type3,6,3,26,710,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 기장군 차성로 327-2 가마솥생복집,,46060,129.2134452993,35.2470210453,6
2778443,39,가야포차선지국,,"가야포차선지국은 부산시 기장군 정관읍에 자리 잡고 있다. 이곳의 선지국은 부드러운 선지와 고소한 국물 맛이 일품이며, 푸짐한 양과 함께 먹는 밥이 맛을 더해준다. 선짓국에 소가죽과 살코기 사이의 부위인 수구레를 넣어 끓인 것이 수구레국밥이다. 이 밖에 술국과 오삼불고기도 판매되고 있다. 음식점은 장안 IC와 가까운 거리에 위치해 있으며, 주변에는 범어사, 금정산부곡온천이 있어 연계 관광에 나서기 수월하다.",,,20211124191046,20250325143557,,,,6,3,26,710,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 기장군 정관읍 정관8로 28,,46015,129.1788934446,35.3223258488,6
849929,39,가야할매 밀면,,"가야밀면 할매는 부산 연제구에 위치한 밀면 전문 음식점이다. 밀가루와 옥수수 전분을 섞어 반죽한 면을 사용한다. 하루 이상 끓여 우려내는 육수는 돼지 뼈와 소 뼈를 섞어 맛을 낸다. 대표메뉴인 밀면, 비빔면과 함께 손만두도 맛볼 수 있다. 가야밀면 할매는 지역 주민들 사이에서 오랜 역사를 자랑하는 맛집으로, 맛과 품질에 대한 자부심이 느껴진다. 아늑하고 깔끔한 분위기에서 편안하게 식사를 즐길 수 있으며, 부산을 방문한 관광객들에게도 꼭 추천할 만한 밀면 맛집이다. 이곳은 부산의 전통적인 맛을 느낄 수 있는 장소이다.",,,20091030211645,20250307142014,,,,6,13,26,470,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 연제구 월드컵대로145번길 32,,47540,129.0798725132,35.1851949389,6
1935608,12,가톨릭 특성화 거리,,"부산 금정구 부곡동 지산고등학교 정문에서 가톨릭대학교 정문 인근의 구간은 일명 ‘가톨릭 특성화 거리’로 불린다. 한국순교복자수녀회, 오륜대 한국순교자박물관, 사도성요한수도회 등 가톨릭 관련 대학과 고등학교를 비롯해 두 개의 수녀회 본원과 성지, 복지, 피정 시설까지 자리하고 있기 때문이다. 지산고등학교 벽면에는 한국 가톨릭의 박해기, 부흥기를 거쳐 현재에 이르기까지 역사적 사건이 조각되어 있다. 특성화 거리를 이루고 있는 상징물들은 독수리, 교회, 수도회 등이 있다.",,,20140718193257,20251023143000,http://tong.visitkorea.or.kr/cms/resource/44/3552344_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/3552344_image3_1.jpg,Type1,6,2,26,410,VE,VE04,VE040100,A02,A0203,A02030600,부산광역시 금정구 부곡동,,46267,129.0970388630,35.2434553947,6
2785289,12,감지해변,"<a href=""https://www.yeongdo.go.kr/tour/01462/01463.web?amode=view&idx=2183"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.yeongdo.go.kr/tour.web</a>","부산 태종대 옆에 자리한 감지해변은 길이 270m, 폭 40m의 크기에 부산에서는 보기 힘든 조약돌이 깔린 아기자기한 해변이다. 수려한 경관과 바다 위로 드리운 일몰이 아름다워 뷰 포인트로 각광받고 있는 곳이다. 도심에서 30분 정도의 거리에 있어 접근성이 좋다. 각양각색의 다이빙 포인트가 많아 스킨스쿠버 다이빙을 즐기러 오는 다이버들에게 많은 사랑을 받는 곳이기도 하다. 감지해변의 해안선을 따라 약 3㎞의 길이로 조성된 감지해변 산책로는 어린이를 동반해도 무리 없을 정도로 경사가 완만하고, 야생초 꽃밭은 청소년들의 자연학습장으로 더할 나위 없이 좋다. 산책 후 태종대 유원지 부설주차장에 자리 잡은 조개구이촌에서 즐기는 바다 내음 가득한 신선한 조개구이도 빼놓지 말아야 할 코스이다.",,,20211202224528,20240913101210,,,,6,14,26,200,NA,NA02,NA020900,A01,A0101,A01011200,부산광역시 영도구 감지길 110,(동삼동),49126,129.0764900502,35.0625336062,6
294452,12,감천사(부산),"<a href=""https://www.yeonje.go.kr/tour/contents.do?mId=0202050000"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.yeonje.go.kr</a>","감천사는 극심한 가뭄에도 물이 마르지 않고 지하 암반에서 1년 내내 물이 솟아올라 인근 주민들의 식수로 사용하였다는 설이 있는 곳이다. 감천사는 부산 연제구 연산동 묘봉산 자락에 위치한 자그마한 비구니 스님의 수행도량이다. 연제구의 주산인 배산 서쪽 묘봉산의 완만한 능선을 배경으로 자리하고 있는 이곳은 중생들의 목마른 갈증을 해소하기 위한 원력으로 창건된 탓에 연산동 주거단지에서 그리 멀지 않는 곳에 위치하고 있다. 사람들의 입에서 입으로 전해져 온 감천사의 물맛은 연제구청에서 공인한 연산동 약숫물로도 유명세를 떨치고 있어 주민들의 발걸음이 끊이질 않는 도심사찰로 이름나 있다. 또한, 부산의 대표적 도심 포교도량인 혜원정사와 좁은 골목 하나를 사이에 두고 나란히 위치한 감천사는 약숫물 외에도 대웅전에 모셔진 관세음보살의 기도성취가 크다 하여 관음기도도량으로도 이름 높다. 비록 사세가 작고 창건의 역사 또한 짧지만 기도객들의 입소문으로 널리 알려졌다.",,,20071127012214,20250424114002,http://tong.visitkorea.or.kr/cms/resource/20/3476820_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/3476820_image3_1.jpg,Type3,6,13,26,470,HS,HS03,HS030100,A02,A0201,A02010800,부산광역시 연제구 묘봉산로 40,(연산동),47582,129.0912632411,35.1833036953,6
2869158,39,감포참가자미,,"부산 범일동에 있는 감포참가자미는 자연산 활어 전문점이다. 100% 자연산 어종인 참가자미는 수심 깊은 곳에 서식하여 비브리오균이나 세균의 영향을 받지 않는다. 꼬들꼬들한 식감과 고소한 맛이 있는 참가자미는 흰살생선으로 소화 흡수력이 좋다. 자연산 활어 전문점인 감포참가자미는 새콤달콤 시원한 물회 맛집으로도 알려져 있다. 싱싱한 회와 각종 채소, 밥, 면이 나와 푸짐하게 먹을 수 있다.",,,20221018141453,20250829093536,http://tong.visitkorea.or.kr/cms/resource/32/2869132_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2869132_image3_1.jpg,Type3,6,5,26,170,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 동구 범일로102번길 16-20 (범일동),,48744,129.0610587668,35.1383498379,6
2872626,39,강호중마라도물회,,"부산광역시 녹산동에 있는 강호중마라도물회는 회 전문점이다. 시원한 슬러시와 쌈도 준비되어 있어 슬러시를 물회에 조금씩 넣어서 먹으면 시원하면서도 새콤하면서도 매콤한 국물이 완성된다. 소면과 김 가루, 맛있는 회와 더불어 양념이 일품이다. 마라도물회의 장점은 물회만 하지 않고 회를 못 먹는 사람도 함께 올 수 있게 떡갈비정식 같은 메뉴가 있다. 넓은 전용 주차장이 있어 편리하다.",,,20221021145458,20250708105911,http://tong.visitkorea.or.kr/cms/resource/15/2872615_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/15/2872615_image3_1.JPG,Type3,6,1,26,440,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 강서구 녹산화전로 283 (녹산동),,46734,128.8722536946,35.1120076519,6
